Username,Handle,Timestamp,Text,Replies,Retweets,Likes
Nick Vintila,@semanticbeeng,2021-06-25T16:42:04.000Z,"Replying to 
@fanf42
 @jeremyrsmith
 and 
@IndigJonathan#Polynote is very nice in every way!

Any plans for an actual roadmap ?
Yearning for #k8s support like in Zeppelin, for example.",,,
Himalayas,@himalayasapp,2021-06-03T06:03:47.000Z, Netflix is hiring a remote Sr. Software Engineer #Netflix #Polynote #Jupyter #Docker #Scala #Spark #AWS #Python #TensorFlow #PyTorch #MachineLearning #Metaflow #SoftwareEngineer https://himalayas.app/companies/netflix/jobs/sr-software-engineer…,,,
Websystemer,@Websystemer,2020-09-20T06:23:53.000Z,"Polynote by Netflix — A Unified Notebook for Writing Polyglot Code - https://websystemer.no/polynote-by-netflix%e2%80%8a-%e2%80%8aa-unified-notebook-for-writing-polyglot-code/…

 #machinelearning #multiplelanguagesupport #polynote #ravishankar #unifiednotebook",,,
TheSequence,@TheSequenceAI,2020-09-03T14:49:00.000Z,"-What’s the main limitation of data science notebooks in machine learning architectures?
-What is the core capability of Netflix’s #Polynote?
#QuizTime #datascience #machinelearning #programming #ArtificialIntelligence #netflix
Our regular quiz is here:TheSequence Quiz
Welcome to The Sequence Quiz. Are you ready to test your knowledge after reading TheSequence Edge#18? Be sure to be subscribed to TheSequence.ai if you haven't already: for the active participants we...
docs.google.com",,,
TheSequence,@TheSequenceAI,2020-09-02T13:14:32.000Z,"Tomorrow:
+concept of production-ready notebooks
+the challenges with computational notebooks by 
@MSFTResearch
 
+#Polynote, a next-generation notebook platform created by 
@netflix
 
Share and subscribe to get the deep dive!  
https://thesequence.substack.com/subscribe
#datascience #MachineLearningTheSequence
Subscribe to stay up-to-date with the most relevant projects and research papers in the AI world. Trusted by 102,000+ readers professionals.
thesequence.substack.com",,,
Data Blogger,@DSCurator,2020-08-25T08:30:21.000Z,"Netflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks #notebooks #data #polynote #netflixNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,,
Data Blogger,@DSCurator,2020-08-24T15:30:19.000Z,"Netflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks #data #notebooks #netflix #polynoteNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,,
Data Blogger,@DSCurator,2020-08-24T02:45:17.000Z,"Netflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks #notebooks #netflix #polynote #dataNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,,
Data Blogger,@DSCurator,2020-08-21T22:00:24.000Z,"Netflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks #notebooks #data #netflix #polynoteNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,,
Data Blogger,@DSCurator,2020-08-20T06:45:28.000Z,"Netflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks #polynote #data #netflix #notebooksNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,,
Robert Zembowicz,@rzembo,2020-08-06T16:53:01.000Z,"Netflix’s Polynote - New Open Source Framework to Build Better Data Science Notebooks

The new notebook environment provides substantial improvements to streamline experimentation in ML workflows

#MachineLearning #DataScience #Polynote by Jesus RodriguezNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,4,1
Ganesh Bhat,@ganesh3,2020-08-06T10:20:39.000Z,"#Netflix’s #Polynote is a New #OpenSource Framework to Build Better #DataScience Notebooks by 
@jrdothoughtsNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
link.medium.com",,4,1
Colin McGuire,@realColinMac,2020-08-06T02:18:00.000Z,"@netflix
's #Polynote is a new open source framework to build better #DataScience notebooks 

#Data #CodeNewbie #programming #100DaysOfCode #Python #DevOps #freeCodeCamp #STEM #engineering #javascript30 #rstats
#startup #WomenWhoCodeNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,4,1
Alfredo Olguin,@AlfredoOlguinG,2020-08-05T19:46:06.000Z,"Les recomiendo darle un vistazo a #Polynote la herramienta multilenguaje se software libre de #Netflix para #DataScienceNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,4,1
Lunatech,@LunatechLabs,2020-08-03T09:06:28.000Z,"In our Friday's tech talks series, Vincent Brulé explained the benefits of using #polynote, a better notebook for #scala on our YouTube channel. Enjoy ! #lunatechlabsLunatech Tech Talks: Polynote, a better notebook for Scala
Lunatech Tech Talks: Polynote, a better notebook for Scala—Vincent Brulé - Software Developer Lunatech NetherlandsFor more reference please head to https://p...
youtube.com",,4,1
nüktem,@NuktemLuta,2020-07-01T12:56:52.000Z,"2. Blog yazisi yayinda! 
@useinsiderTR
 
#MachineLearning #Zeppelin #Polynote #Netflix #BigData #ArtificialIntelligence #PredictiveAnalytics 

Polynote vs Zeppelin: A Comparison by Ceren GüzelgünPolynote vs Zeppelin: A Comparison
As the Predictive Business Unit, we utilize many different tools to make sure our workflow is as smooth as possible. Notebooks are one of…
link.medium.com",,4,1
darren is still compiling,@dazfuller,2020-05-31T11:08:32.000Z,"Okay, given all the shit happening right now, thought I'd update the ARM template for #polynote to match the 0.3.10 release which includes a dark theme.Release 0.3.10 · dazfuller/azure-arm-polynote-vm
Updates to Polynote v0.3.10, also pre-installs matplotlib
github.com",,4,1
darren is still compiling,@dazfuller,2019-12-29T15:53:39.000Z,"New Release: Updated the #Azure #Polynote VM template. New in this version

* Updated #Polynote to version 0.2.15
* Changed to distribution targeting #Scala 2.11
* Fixed configuration which was preventing spark context from starting
* Updated README

https://github.com/dazfuller/azure-arm-polynote-vm…",,2,
darren is still compiling,@dazfuller,2019-12-28T10:30:40.000Z,"Now updated to use version 0.2.14 of #polynoteGitHub - dazfuller/azure-arm-polynote-vm: ARM template for deploying a Polynote server
ARM template for deploying a Polynote server. Contribute to dazfuller/azure-arm-polynote-vm development by creating an account on GitHub.
github.com",,2,
Eamonn Maguire,@antarcticdesign,2019-12-27T11:22:39.000Z,"Has anyone tried #polynote yet as a replacement for 
@ProjectJupyter
 ? Looks awesome! https://polynote.org #DataScience #visualization",,2,
Ben Hur,@benhur07b,2019-12-25T14:27:52.000Z,"Hmmm. Interesting. Will try to look into #Polynote.Paul Blaser
@paulblaser
 · Dec 25, 2019
“Polynote: the new Jupyter?” by Tom Titcombe https://link.medium.com/TIcqFxISH2",,2,
Needemand,@needemand,2019-12-24T09:32:17.000Z,"#Polynote: the new #Jupyter?Polynote: the new Jupyter?
There is a lot of buzz surrounding Polynote, Netflix’s multi-language notebook. But is it the Jupyter-killer, or is it all hype?
towardsdatascience.com",,2,
Robert Zembowicz,@rzembo,2019-12-23T19:38:00.000Z,"Polynote: the new Jupyter?

There is a lot of buzz surrounding Polynote, Netflix’s multi-language notebook. But is it the Jupyter-killer, or is it all hype?

#MachineLearning #DataScience #Polynote via 
@TDataSciencePolynote: the new Jupyter?
There is a lot of buzz surrounding Polynote, Netflix’s multi-language notebook. But is it the Jupyter-killer, or is it all hype?
towardsdatascience.com",,2,
Analytics India Magazine,@Analyticsindiam,2019-12-23T13:01:18.000Z,"Netflix open-sourced a Python framework called Metaflow - it may witness a rise as the library is very Pythonic, and developers might not feel an overhaul in their workflows.
Full Story: http://bit.ly/36VO0X8

#netflix #machinelearning #polynote #opensource #metaflow #python",,2,
Juarez Junior,@juarezjunior,2019-12-22T14:52:35.000Z,"#Polynote: the new #Jupyter? by Tom Titcombe in 
@TDataSciencePolynote: the new Jupyter?
There is a lot of buzz surrounding Polynote, Netflix’s multi-language notebook. But is it the Jupyter-killer, or is it all hype?
towardsdatascience.com",,2,
SoftwareMill,@softwaremill,2019-11-14T14:56:00.000Z,"Everyone is talking about #Netflix’s #Polynote right now. Have you tried it? 
@adamwarski
 did, and have sent an HTTP request from this polyglot notebook.  The ready-to-play formula is on our blog and GitHub https://blog.softwaremill.com/working-with-http-in-polynote-d950dcfcd75f… #http #sttp #scala cc: 
@WeAreNetflixWorking with HTTP in Polynote
Exploring some data using sttp client in a polynote notebook
blog.softwaremill.com",,,7
